Id,Universitas,Rank Universitas (Indonesia),Fakultas,Program Studi,Daya Tampung,Gelar ,UKT WNI,UKT WNA,SUMBER,Tanggal Akses
22,Universitas Gajah Mada,99,Teknik,Teknik sipil,50,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79490,5 Mei 2025
23,Universitas Gajah Mada,99,Teknik,Teknik Mesin,25,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79491,5 Mei 2025
24,Universitas Gajah Mada,99,Teknik,Teknik Kimia,25,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79492,5 Mei 2025
25,Universitas Gajah Mada,99,Teknik,Teknik Geodesi,25,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79493,5 Mei 2025
26,Universitas Gajah Mada,99,Teknik,Teknik Geologi,30,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79494,5 Mei 2025
27,Universitas Gajah Mada,99,Teknik,Teknologi Informasi,25,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79495,5 Mei 2025
28,Universitas Gajah Mada,99,Teknik,Teknik Industri,30,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79496,5 Mei 2025
29,Universitas Gajah Mada,99,Teknik,Perencanaan wilayah dan kota,20,,0,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79497,5 Mei 2025
30,Institut Teknologi Bandung,141,,Sains dan Teknologi Farmasi (Sekolah Farmasi),30,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
31,Institut Teknologi Bandung,141,,Farmasi Klinis dan Komunitas (Sekolah Farmasi),30,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
